symbol
NSE:HDFCBANK-EQ
NSE:ICICIBANK-EQ
NSE:RELIANCE-EQ
NSE:VEDL-EQ
NSE:INFY-EQ
NSE:KOTAKBANK-EQ
NSE:BHARTIARTL-EQ
NSE:BAJFINANCE-EQ
NSE:ETERNAL-EQ
NSE:MIDCPNIFTY-INDEX
NSE:IDEA-EQ
NSE:RVNL-EQ
NSE:SHRIRAMFIN-EQ
NSE:INDIGO-EQ
NSE:TCS-EQ
NSE:SBIN-EQ
NSE:JSWSTEEL-EQ
NSE:MCX-EQ
NSE:MARUTI-EQ
NSE:DIXON-EQ
NSE:AXISBANK-EQ
NSE:GRASIM-EQ
NSE:M&M-EQ
NSE:COFORGE-EQ
NSE:HINDALCO-EQ
NSE:TITAN-EQ
NSE:HINDZINC-EQ
NSE:ASIANPAINT-EQ
NSE:BEL-EQ
NSE:LT-EQ
NSE:ABCAPITAL-EQ
NSE:ITC-EQ
NSE:BAJAJFINSV-EQ
NSE:INDUSINDBK-EQ
NSE:JIOFIN-EQ
NSE:HEROMOTOCO-EQ
NSE:BAJAJ-AUTO-EQ
NSE:TRENT-EQ
NSE:TATASTEEL-EQ
NSE:WIPRO-EQ
NSE:INDUSTOWER-EQ
NSE:IRCTC-EQ
NSE:HINDUNILVR-EQ
NSE:ADANIENT-EQ
NSE:AUBANK-EQ
NSE:TMPV-EQ
NSE:UPL-EQ
NSE:IRFC-EQ
NSE:ULTRACEMCO-EQ
NSE:HAL-EQ
NSE:TVSMOTOR-EQ
NSE:ADANIPORTS-EQ
NSE:BSE-EQ
NSE:HDFCLIFE-EQ
NSE:ASHOKLEY-EQ
NSE:IDFCFIRSTB-EQ
NSE:NATIONALUM-EQ
NSE:GLENMARK-EQ
NSE:CHOLAFIN-EQ
NSE:FEDERALBNK-EQ
NSE:RECLTD-EQ
NSE:EICHERMOT-EQ
NSE:DLF-EQ
NSE:CANBK-EQ
NSE:AMBUJACEM-EQ
NSE:TECHM-EQ
NSE:HCLTECH-EQ
NSE:NTPC-EQ
NSE:JSWENERGY-EQ
NSE:NMDC-EQ
NSE:VBL-EQ
NSE:RBLBANK-EQ
NSE:CONCOR-EQ
NSE:MARICO-EQ
NSE:SBICARD-EQ
NSE:PAYTM-EQ
NSE:SAIL-EQ
NSE:BHEL-EQ
NSE:SUNPHARMA-EQ
NSE:PNB-EQ
NSE:BANKBARODA-EQ
NSE:MAZDOCK-EQ
NSE:LTF-EQ
NSE:POLYCAB-EQ
NSE:MOTHERSON-EQ
NSE:NBCC-EQ
NSE:PRESTIGE-EQ
NSE:COALINDIA-EQ
NSE:NESTLEIND-EQ
NSE:MAXHEALTH-EQ
NSE:KALYANKJIL-EQ
NSE:DRREDDY-EQ
NSE:ONGC-EQ
NSE:ADANIGREEN-EQ
NSE:PATANJALI-EQ
NSE:DMART-EQ
NSE:HINDPETRO-EQ
NSE:CUMMINSIND-EQ
NSE:ADANIENSOL-EQ
NSE:PFC-EQ
NSE:JUBLFOOD-EQ
NSE:POWERGRID-EQ
NSE:SBILIFE-EQ
NSE:APOLLOHOSP-EQ
NSE:CDSL-EQ
NSE:YESBANK-EQ
NSE:PNBHOUSING-EQ
NSE:PERSISTENT-EQ
NSE:INDHOTEL-EQ
NSE:DIVISLAB-EQ
NSE:MFSL-EQ
NSE:MANAPPURAM-EQ
NSE:VOLTAS-EQ
NSE:GODREJPROP-EQ
NSE:CIPLA-EQ
NSE:ANGELONE-EQ
NSE:KAYNES-EQ
NSE:COLPAL-EQ
NSE:ASTRAL-EQ
NSE:MPHASIS-EQ
NSE:LTIM-EQ
NSE:HDFCAMC-EQ
NSE:AUROPHARMA-EQ
NSE:MUTHOOTFIN-EQ
NSE:POLICYBZR-EQ
NSE:LAURUSLABS-EQ
NSE:IREDA-EQ
NSE:BIOCON-EQ
NSE:BRITANNIA-EQ
NSE:UNITDSPR-EQ
NSE:PETRONET-EQ
NSE:LICHSGFIN-EQ
NSE:TATACONSUM-EQ
NSE:IOC-EQ
NSE:LUPIN-EQ
NSE:ICICIGI-EQ
NSE:TATAPOWER-EQ
NSE:SOLARINDS-EQ
NSE:AMBER-EQ
NSE:GMRAIRPORT-EQ
NSE:HAVELLS-EQ
NSE:LODHA-EQ
NSE:IEX-EQ
NSE:BPCL-EQ
NSE:HUDCO-EQ
NSE:FORTIS-EQ
NSE:PAGEIND-EQ
NSE:NYKAA-EQ
NSE:SONACOMS-EQ
NSE:BDL-EQ
NSE:OFSS-EQ
NSE:SUZLON-EQ
NSE:ICICIPRULI-EQ
NSE:JINDALSTEL-EQ
NSE:GODREJCP-EQ
NSE:ABB-EQ
NSE:BANDHANBNK-EQ
NSE:UNIONBANK-EQ
NSE:GAIL-EQ
NSE:IIFL-EQ
NSE:INDIANB-EQ
NSE:NAUKRI-EQ
NSE:SRF-EQ
NSE:CROMPTON-EQ
NSE:OBEROIRLTY-EQ
NSE:APLAPOLLO-EQ
NSE:BHARATFORG-EQ
NSE:SIEMENS-EQ
NSE:PIDILITIND-EQ
NSE:TATAELXSI-EQ
NSE:LICI-EQ
NSE:PIIND-EQ
NSE:BOSCHLTD-EQ
NSE:TIINDIA-EQ
NSE:EXIDEIND-EQ
NSE:SHREECEM-EQ
NSE:TORNTPHARM-EQ
NSE:TATATECH-EQ
NSE:SUPREMEIND-EQ
NSE:DALBHARAT-EQ
NSE:UNOMINDA-EQ
NSE:ZYDUSLIFE-EQ
NSE:KEI-EQ
NSE:DABUR-EQ
NSE:INOXWIND-EQ
NSE:TITAGARH-EQ
NSE:PGEL-EQ
NSE:CGPOWER-EQ
NSE:ALKEM-EQ
NSE:PHOENIXLTD-EQ
NSE:CAMS-EQ
NSE:DELHIVERY-EQ
NSE:NHPC-EQ
NSE:KPITTECH-EQ
NSE:BANKINDIA-EQ
NSE:PPLPHARMA-EQ
NSE:NUVAMA-EQ
NSE:OIL-EQ
NSE:POWERINDIA-EQ
NSE:MANKIND-EQ
NSE:KFINTECH-EQ
NSE:BLUESTARCO-EQ
NSE:SYNGENE-EQ
NSE:360ONE-EQ
NSE:TORNTPOWER-EQ
NSE:NIFTYNXT50-INDEX
NSE:HFCL-EQ
NSE:FINNIFTY-INDEX
NSE:SAMMAANCAP-EQ
NSE:CYIENT-EQ
NSE:NCC-EQ
